time,vertical_speed,horizontal_speed,dist,distance_from_moon,angle,weight,acceleration,dvs,fuel,PID,NN
271,23.999586119194717,531.1227297635231,-20645.029950595763,7242.578089936713,58.3,286,2.1223863465903423,24,77.0790675573152,0.0006485377416009441,0.8161807723113895
272,23.99957869221722,529.3169798813541,-21174.346930477117,7218.5785112444955,58.3,286,2.1256651620066327,24,76.89787542586207,0.0006481089198433785,0.8168288812312329
273,23.999571238518115,527.5084403466032,-21701.85537082372,7194.5789400059775,58.3,286,2.128949042637934,24,76.71653941422873,0.0006476767991130039,0.8174765580303459
274,23.999563758127266,525.6971068497292,-22227.55247767345,7170.579376247851,58.3,286,2.132237996309501,24,76.535059618346,0.0006472413725684396,0.8181237994029144
275,23.999556251074395,523.882975074533,-22751.43545274798,7146.579819996777,58.3,286,2.1355320308586725,24,76.35343613487855,0.0006468026333715379,0.8187706020362859
276,23.999548717389086,522.0660406981475,-23273.50149344613,7122.5802712793875,58.3,286,2.1388311541348872,24,76.1716690612265,0.0006463605746881934,0.8194169626109741
277,23.99954115710079,520.2462993910273,-23793.747792837155,7098.580730122287,58.3,286,2.1421353739997033,24,75.98975849552686,0.0006459151896893003,0.8200628778006633
278,23.999533570238828,518.4237468169381,-24312.171539654093,7074.581196552048,58.3,286,2.1454446983268194,24,75.80770453665511,0.0006454664715492907,0.8207083442722126
279,23.999525956832393,516.5983786329467,-24828.76991828704,7050.581670595216,58.3,286,2.1487591350020896,24,75.62550728422667,0.0006450144134469485,0.8213533586856596
280,23.999518316910557,514.7701904894105,-25343.540108776448,7026.582152278305,58.3,286,2.1520786919235446,24,75.44316683859846,0.0006445590085663695,0.821997917694226
281,23.999510650502266,512.9391780299673,-25856.479286806414,7002.582641627803,58.3,286,2.155403377001411,24,75.26068330087034,0.0006441002500946489,0.8226420179443207
282,23.999502957636352,511.10533689152436,-26367.584623697938,6978.583138670167,58.3,286,2.1587331981581266,24,75.0780567728867,0.0006436381312242623,0.8232856560755449
283,23.999495238341535,509.2686627042489,-26876.853286402187,6954.583643431825,58.3,286,2.162068163328363,24,74.89528735723792,0.0006431726451533176,0.8239288287206983
284,23.999487492646423,507.4291510915571,-27384.282437493745,6930.584155939179,58.3,286,2.165408280459044,24,74.71237515726192,0.0006427037850840998,0.8245715325057824
285,23.999479720579515,505.58679767010375,-27889.86923516385,6906.5846762186,58.3,286,2.1687535575093655,24,74.52932027704563,0.0006422315442221855,0.8252137640500046
286,23.99947192216921,503.7415980497718,-28393.61083321362,6882.585204296431,58.3,286,2.1721040024508063,24,74.34612282142653,0.0006417559157813862,0.825855519965786
287,23.999464097443806,501.89354783366224,-28895.50438104728,6858.585740198987,58.3,286,2.175459623267161,24,74.16278289599413,0.0006412768929784611,0.8264967968587644
288,23.9994562464315,500.04264261808305,-29395.547023665364,6834.586283952555,58.3,286,2.178820427954548,24,73.97930060709147,0.0006407944690353601,0.8271375913277997
289,23.999448369160397,498.18887799253923,-29893.735901657903,6810.5868355833945,58.3,286,2.1821864245214315,24,73.7956760618167,0.0006403086371801911,0.82777789996498
290,23.999440465658516,496.33224953972206,-30390.068151197625,6786.587395117736,58.3,286,2.1855576209886434,24,73.61190936802448,0.0006398193906466247,0.8284177193556266
291,23.999432535953783,494.4727528354985,-30884.540904033125,6762.587962581782,58.3,286,2.188934025389399,24,73.42800063432753,0.000639326722673157,0.8290570460782998
292,23.999424580074045,492.6103834489009,-31377.151287482026,6738.588538001708,58.3,286,2.1923156457693187,24,73.24394997009814,0.0006388306265047909,0.8296958767048046
293,23.999416598047066,490.74513694211623,-31867.896424424143,6714.589121403661,58.3,286,2.1957024901864446,24,73.05975748546967,0.0006383310953915898,0.8303342078001962
294,23.999408589900533,488.87700887047555,-32356.77343329462,6690.58971281376,58.3,286,2.199094566711264,24,72.87542329133804,0.0006378281225895077,0.8309720359227857
295,23.999400555662056,487.0059947824435,-32843.77942807706,6666.5903122580985,58.3,286,2.202491883426724,24,72.69094749936318,0.0006373217013605074,0.8316093576241462
296,23.99939249535918,485.13209021960773,-33328.91151829667,6642.59091976274,58.3,286,2.2058944484282517,24,72.50633022197061,0.000636811824973537,0.8322461694491198
297,23.999384409019378,483.2552907166681,-33812.16680901334,6618.59153535372,58.3,286,2.209302269823778,24,72.32157157235291,0.0006362984867013796,0.8328824679358211
298,23.999376296670054,481.3755918014263,-34293.54240081477,6594.592159057051,58.3,286,2.212715355733748,24,72.13667166447115,0.0006357816798254674,0.8335182496156466
